Text,Prediction,Actual
taquito,Pizza,Fast Food
100 degrees,Pizza,Fast Food
la crepe house,Desserts,Fast Food
khan's karahi,Indian,Kebab
prince grill,Kebab,Fast Food
n1 grill,Kebab,Fast Food
madina grill,Kebab,Fast Food
roosterz,Chicken,Fish & Chips
punjabi connection,Indian,Fish & Chips
my cravingz,Pizza,Fast Food
something else,Chinese,Sand/Caf/Bake
sweet jamrock,Desserts,Fast Food
perfect grill,Kebab,Fast Food
bennett's caribbean takeaway,Chicken,Fast Food
curry max,Indian,Kebab
nour bbq hut,Kebab,Sand/Caf/Bake
jj's,Kebab,Desserts
sweets 'n' treats,Desserts,Sand/Caf/Bake
miami spice,Indian,Kebab
bangerz 'n' brewz,Sand/Caf/Bake,Fast Food
mr parmo,Pizza,Fast Food
deja vu,Indian,Kebab
super subwich,Sand/Caf/Bake,Desserts
quiznos,Pizza,Sand/Caf/Bake
the tea room,Sand/Caf/Bake,Desserts
ground 101,Pizza,Desserts
piazza,Pizza,Kebab
be happy,Chinese,Desserts
moxies fish bar,Fish & Chips,Sand/Caf/Bake
betty's diner,Sand/Caf/Bake,Desserts
ha caribbean takeaway,Chicken,Fast Food
diamond's grill,Kebab,Desserts
daisy's deli,Sand/Caf/Bake,Desserts
souvlaki,Kebab,Sand/Caf/Bake
beach hut caribbean takeaway,Chicken,Fast Food
thai bambusa,Chinese,Chicken
vida juice,Pizza,Desserts
king kone,Chinese,Desserts
bluerare,Fish & Chips,Desserts
winthorpe fish bar,Fish & Chips,Sand/Caf/Bake
ibrahims,Indian,Sand/Caf/Bake
muster coffee,Sand/Caf/Bake,Desserts
delicious direct,Desserts,Fast Food
shaam spice,Indian,Pizza
plaice 4 fish,Fish & Chips,Pizza
bon bon,Chinese,Desserts
scoops dessert and diner bar,Desserts,Pizza
brain freeze,Fish & Chips,Desserts
emochi,Indian,Desserts
noa grill and lounge,Chicken,Fast Food
chimneys,Indian,Desserts
tinto coffee house,Sand/Caf/Bake,Desserts
batch and co coffee,Sand/Caf/Bake,Desserts
cooper thai restaurant,Chinese,Sand/Caf/Bake
vooo lounge,Indian,Kebab
mr nitro's,Pizza,Desserts
flava bar,Chicken,Desserts
sahin's lounge,Indian,Sand/Caf/Bake
ha8 drinks and snacks,Sand/Caf/Bake,Desserts
frangoz - bradford,Chicken,Fast Food
shenshah tandoori and munchi's,Indian,Chicken
the mad batter bakery and coffee shop,Sand/Caf/Bake,Desserts
kitchen deli,Sand/Caf/Bake,Kebab
the white hart,Desserts,Fast Food
cafe dm,Sand/Caf/Bake,Desserts
johnny custard evington road,Indian,Desserts
barbq 2night,Kebab,Chicken
sunrise mediterranean restaurant,Kebab,Chicken
under500,Pizza,Sand/Caf/Bake
leo's grill,Kebab,Desserts
lahori gate,Indian,Chinese
tiffin @ daytoday,Indian,Sand/Caf/Bake
brunchies,Sand/Caf/Bake,Kebab
dita foods,Kebab,Desserts
diamond kebab,Kebab,Fish & Chips
frescos,Pizza,Desserts
whitecliffs fish bar and pizza kebab,Fish & Chips,Fast Food
sorriso,Pizza,Desserts
symposium,Kebab,Sand/Caf/Bake
chichini,Pizza,Sand/Caf/Bake
asda groceries,Pizza,Desserts
the pudding room,Indian,Desserts
paprika restaurant,Indian,Kebab
the levant lounge,Indian,Kebab
chippy bar,Fish & Chips,Chinese
blend,Pizza,Desserts
northern soul grilled cheese (piccadilly),Kebab,Fast Food
juicy bagels,Sand/Caf/Bake,Desserts
comely,Indian,Chicken
the flying pan,Chinese,Sand/Caf/Bake
sizzle n' shake,Desserts,Chicken
golden hind,Chinese,Fish & Chips
truro kebab,Kebab,Fish & Chips
hook and line,Chinese,Fish & Chips
food to go @ wr and p,Pizza,Desserts
denry's lounge,Indian,Kebab
battersea grill,Pizza,Sand/Caf/Bake
karachi express,Indian,Kebab
kamranz,Indian,Kebab
cinema snacks,Sand/Caf/Bake,Desserts
ron's curry house,Indian,Chinese
harlequin marple,Indian,Kebab
phillips lane chippy,Fish & Chips,Chinese
ayvel bakery cafe,Sand/Caf/Bake,Desserts
the meat bar,Desserts,Kebab
turkish doner,Kebab,Pizza
perfecto,Desserts,Kebab
diago's,Kebab,Sand/Caf/Bake
dream time cafe,Sand/Caf/Bake,Chinese
stone grill and shawarma house,Kebab,Fish & Chips
grillaz,Kebab,Sand/Caf/Bake
planet snax,Sand/Caf/Bake,Desserts
chip shop co,Fish & Chips,Kebab
the wee shop,Desserts,Sand/Caf/Bake
wings,Chicken,Chinese
dough darlings,Pizza,Desserts
wokingham grill,Kebab,Fish & Chips
topped n loaded,Chinese,Desserts
mashawi,Indian,Chicken
seymour store and takeaway,Kebab,Sand/Caf/Bake
banaras paan,Indian,Desserts
the broadway,Sand/Caf/Bake,Desserts
holy smoke bar-b-que,Kebab,Chicken
deli espresso,Sand/Caf/Bake,Chicken
deli munch crunch,Sand/Caf/Bake,Chicken
sugar cane restaurant,Desserts,Chinese
netherton tasty bites,Sand/Caf/Bake,Fish & Chips
cafe zeus,Sand/Caf/Bake,Chicken
rainbow restaurant,Chinese,Fish & Chips
tacos house,Pizza,Fast Food
tiki's,Fish & Chips,Sand/Caf/Bake
an noor,Indian,Kebab
saint smokey's bbq house,Kebab,Chicken
cakes n cookin cafe,Desserts,Sand/Caf/Bake
kooster's retro,Chicken,Sand/Caf/Bake
highbury cafe,Sand/Caf/Bake,Kebab
butt's savouries,Sand/Caf/Bake,Indian
trent spice,Indian,Pizza
hot lyfe,Indian,Desserts
jotties,Sand/Caf/Bake,Desserts
yefsis,Kebab,Sand/Caf/Bake
jo jo's,Pizza,Chicken
whitchurch eat house,Chinese,Desserts
shawarma makan,Kebab,Chicken
mila rosina's,Pizza,Sand/Caf/Bake
mighty bite,Kebab,Sand/Caf/Bake
cruffins,Indian,Desserts
velvet puffs,Indian,Desserts
childsplay brasserie,Indian,Desserts
rusto,Pizza,Kebab
ed's eats,Desserts,Chicken
weldfinn,Indian,Chicken
1st pizza direct,Pizza,Fish & Chips
the food company,Desserts,Sand/Caf/Bake
la casa pizzeria,Pizza,Kebab
kaiysa,Indian,Chicken
surf and turf,Indian,Kebab
noorani routes,Indian,Sand/Caf/Bake
tabaq,Indian,Pizza
the wind rush restaurant,Indian,Sand/Caf/Bake
qq takeaway,Fish & Chips,Chinese
hg ribz,Pizza,Desserts
la spezia pizzeria,Pizza,Fish & Chips
lisa's grill,Pizza,Sand/Caf/Bake
w4d,Chinese,Desserts
viet cafe,Sand/Caf/Bake,Chinese
kopi kups,Chinese,Desserts
richi's cafe,Chinese,Kebab
flame piri piri,Chicken,Kebab
west end city,Chinese,Chicken
friesday belgian fries,Sand/Caf/Bake,Fast Food
sakarya,Indian,Kebab
bits 'n' pizzas,Pizza,Fish & Chips
kardelow,Indian,Desserts
gadz cafe,Sand/Caf/Bake,Kebab
cibo,Pizza,Chicken
roasty's,Chicken,Kebab
sub zero,Pizza,Desserts
since 1988,Indian,Kebab
padrino's,Pizza,Indian
greenlanes tasty bites,Sand/Caf/Bake,Fish & Chips
panini's,Fish & Chips,Sand/Caf/Bake
g and a fastfood,Fish & Chips,Chicken
choices,Chinese,Kebab
pop in bubble tea and food,Sand/Caf/Bake,Chinese
go fresco,Pizza,Kebab
let's eat,Desserts,Chicken
love and rockets,Desserts,Pizza
cannon,Chinese,Fish & Chips
mr koolz,Indian,Desserts
beehive,Indian,Sand/Caf/Bake
bigmunch,Pizza,Desserts
medway grill,Kebab,Fish & Chips
happy cuisine,Chinese,Indian
truth lounge,Indian,Chicken
aroush cafe,Sand/Caf/Bake,Indian
doing bits streetfood and desserts,Desserts,Fast Food
inchinnan post office takeaway,Indian,Sand/Caf/Bake
pure dessert,Desserts,Indian
romero,Pizza,Kebab
cafe cleo,Sand/Caf/Bake,Chinese
taka taka,Indian,Chicken
vine leaves,Chinese,Kebab
montys,Kebab,Sand/Caf/Bake
power kitchen,Chinese,Chicken
zing zing kentish town,Chicken,Chinese
munchie box,Sand/Caf/Bake,Fish & Chips
papa joes,Pizza,Sand/Caf/Bake
bits n pizzas,Pizza,Fish & Chips
driiink,Indian,Desserts
danny's pie and mash,Fast Food,Sand/Caf/Bake
deshy grill,Kebab,Chicken
tomorrow bar and restaurant,Indian,Chinese
dinerz,Kebab,Sand/Caf/Bake
thriller griller,Chicken,Sand/Caf/Bake
hot spicy caribbean takeaway,Chicken,Desserts
angel's cakes,Desserts,Sand/Caf/Bake
delicious moments,Indian,Kebab
big bangs,Chicken,Sand/Caf/Bake
dolphin square kitchen- roast to go,Sand/Caf/Bake,Fish & Chips
the broken fork,Fish & Chips,Kebab
king rush,Chicken,Desserts
frozen moments,Pizza,Desserts
baran,Indian,Kebab
the casa mia,Pizza,Kebab
tuckins,Chicken,Sand/Caf/Bake
sunats,Chinese,Kebab
the cooking pot,Desserts,Fish & Chips
moghuls,Indian,Kebab
the retreat kitchen,Sand/Caf/Bake,Desserts
hexa lounge,Pizza,Kebab
thai moom,Chinese,Indian
rajdhani kebab,Indian,Kebab
amanah restaurant birmingham,Indian,Chicken
zapatista burrito bar newcastle,Pizza,Chicken
caffe c,Sand/Caf/Bake,Fish & Chips
tasty fish and chips,Fish & Chips,Kebab
bar.b.q. base,Kebab,Chicken
amazing,Indian,Chinese
spice n grill,Indian,Chicken
nosh,Kebab,Sand/Caf/Bake
i smile,Chinese,Sand/Caf/Bake
burlingtons,Chicken,Fish & Chips
vegan munch,Desserts,Kebab
the university cafe and take away,Sand/Caf/Bake,Fish & Chips
stanleys kitchen,Chicken,Fish & Chips
papa noosh ltd,Pizza,Fish & Chips
oak road bakery,Sand/Caf/Bake,Desserts
fun fillings,Pizza,Sand/Caf/Bake
bake station,Desserts,Sand/Caf/Bake
celadon 2 u,Indian,Chinese
mouchak street,Indian,Sand/Caf/Bake
