label,label2,ascii_name_fix,label_orig,label2_orig,label_final,Burger,Chicken,Kebab,Pizza,Fast Food,valid,bal
British,Burger,scruffy duffys,British,Burgers,Burger,0,0,0,0,0,True,0
Burger,British,bssc,American,British,Burger,0,0,0,0,0,False,14
Mexican,Burger,chicho takeaway,Mexican,Burgers,Burger,0,0,0,0,0,False,16
English Breakfast,Burger,jannines cafe bar,English Breakfast,Burgers,Burger,0,0,0,0,0,True,0
Lebanese,Burger,gru shisha lounge  and  restaurant,Lebanese,Burgers,Burger,0,0,0,0,0,True,0
Burger,Sand/Caf/Bake,"gems diner, breakfast-carvery-burgers",Burgers,Breakfast,Burger,1,0,0,0,0,False,12
Burger,Burger,route 36,Burgers,American,Burger,0,0,0,0,0,True,0
Burger,Lunch,nanny bills @ boxpark,Burgers,Lunch,Burger,0,0,0,0,0,True,0
Burger,Burger,burger station,American,Burgers,Burger,1,0,0,0,0,True,0
Burger,Sand/Caf/Bake,nuffield burger bar,Burgers,Breakfast,Burger,1,0,0,0,0,False,30
Burger,Pizza,burger jim branton,Burgers,Pizza,Burger,1,0,0,0,0,False,15
Burger,Healthy,deli no1 flemingate,Burgers,Healthy,Burger,0,0,0,0,0,True,0
Burger,Burger,the ferret,American,Burgers,Burger,0,0,0,0,0,False,13
Burger,English,ginoz,American,English,Burger,0,0,0,0,0,False,12
Gourmet,Burger,gordon mighty,Gourmet,Burgers,Burger,0,0,0,0,0,False,6
Burger,Grill,barringtons,Burgers,Grill,Burger,0,0,0,0,0,True,0
British,Burger,lina bistro,British,Burgers,Burger,0,0,0,0,0,False,13
Grill,Burger,charcoas,Grill,Burgers,Burger,0,0,0,0,0,True,0
Burger,Spanish,stollies evening tapas,Burgers,Spanish,Burger,0,0,0,0,0,True,0
Burger,Burger,burgerbox kitchen,Burgers,American,Burger,1,0,0,0,0,False,17
Vegan,Burger,happy friday kitchen,Vegan,Burgers,Burger,0,0,0,0,0,False,20
Burger,Burger,nicebites,American,Burgers,Burger,0,0,0,0,0,False,15
Burger,Grill,main stop,American,Grill,Burger,0,0,0,0,0,False,17
Burger,Burger,cafe clock,American,Burgers,Burger,0,0,0,0,0,True,0
Mediterranean,Burger,la maison,Mediterranean,Burgers,Burger,0,0,0,0,0,True,0
Burger,Pies,coffee beanz takeaway,Burgers,Pies,Burger,0,0,0,0,0,False,13
Burger,Burger,mystic kitchen,Burgers,American,Burger,0,0,0,0,0,True,0
Sand/Caf/Bake,Burger,diago's deli hot sandwich's and gourmet burgers nw,Breakfast,Burgers,Burger,1,0,0,0,0,False,14
Burger,Vegan,wrap culture at ten green bottles,American,Vegan,Burger,0,0,0,0,0,True,0
Burger,Desserts,mil's burgers  and  shakes,Burgers,Desserts,Burger,1,0,0,0,0,True,0
Healthy,Burger,nutrient power,Healthy,Burgers,Burger,0,0,0,0,0,True,0
BBQ,Burger,the smoke pit,BBQ,American,Burger,0,0,0,0,0,False,21
Burger,Gourmet,burger shack swansea.com,Burgers,Gourmet,Burger,1,0,0,0,0,True,0
Burger,British,hillman's burgers,Burgers,British,Burger,1,0,0,0,0,True,0
Burger,Grill,krave burgers and grill,Burgers,Grill,Burger,1,0,0,0,0,False,14
Burger,Chicken,beats burger,Burgers,Chicken,Burger,1,0,0,0,0,False,14
Pizza,Burger,grillicious gourmet burgers  and  shakes,Pizza,Burgers,Burger,1,0,0,0,0,True,0
Burger,Burger,burger corner,Burgers,American,Burger,1,0,0,0,0,True,0
Burger,Burger,omg,American,Burgers,Burger,0,0,0,0,0,True,0
Burger,Burger,smoky boys @ boxpark,American,Burgers,Burger,0,0,0,0,0,True,0
Burger,Burger,plantation bar  and  grill,American,Burgers,Burger,0,0,0,0,0,True,0
European,Burger,firth restaurant,European,Burgers,Burger,0,0,0,0,0,False,13
Burger,British,blue commando burger bar,Burgers,British,Burger,1,0,0,0,0,False,5
Burger,Burger,beanies,American,Burgers,Burger,0,0,0,0,0,False,21
Burger,Burger,cowtown grill,American,Gourmet Burgers,Burger,0,0,0,0,0,True,0
Burger,Fusion,the quarter,American,Fusion,Burger,0,0,0,0,0,True,0
Burger,English,mr. chips,American,English,Burger,0,0,0,0,0,False,20
Burger,Burger,mark's american diner,American,Burgers,Burger,0,0,0,0,0,True,0
Burger,Halal,the great american waffle house,American,Halal,Burger,0,0,0,0,0,True,0
Burger,Kebab,tj's burgers - opposite rugby stadium,Burgers,Kebab,Burger,1,0,0,0,0,False,9
Burger,Burger,wicked burger,Burgers,American,Burger,1,0,0,0,0,False,13
Burger,Burger,sharon's kitchen @ the merry fiddlers,Burgers,American,Burger,0,0,0,0,0,False,15
Burger,Burger,lenny's diner,American,Burgers,Burger,0,0,0,0,0,False,14
Burger,British,the george - hitchin,Burgers,British,Burger,0,0,0,0,0,True,0
Burger,Tex Mex,so! bar and eats - harrogate,Burgers,Tex Mex,Burger,0,0,0,0,0,False,14
Burger,Vegan,bear kitchen,American,Vegan,Burger,0,0,0,0,0,True,0
Burger,Steak,eeshis kitchen,Burgers,Steak,Burger,0,0,0,0,0,False,17
Burger,Burger,west coast rock cafe,American,Burgers,Burger,0,0,0,0,0,False,24
Steak,Burger,bison steakhouse,Steak,Burgers,Burger,0,0,0,0,0,True,0
Burger,Gourmet,big bun,Burgers,Gourmet,Burger,0,0,0,0,0,True,0
Burger,Burger,bar brig,American,Burgers,Burger,0,0,0,0,0,False,17
Burger,Tex Mex,ed's urban eats,American,Tex Mex,Burger,0,0,0,0,0,True,0
Burger,British,baba ganoush,American,British,Burger,0,0,0,0,0,True,0
Steak,Burger,smoky's steak  and  grill,Steak,Burgers,Burger,0,0,0,0,0,False,23
BBQ,Burger,backyard bbq,BBQ,American,Burger,0,0,0,0,0,True,0
Middle Eastern,Burger,le bistro,Middle Eastern,Burgers,Burger,0,0,0,0,0,True,0
Burger,Burger,burger junkie,Burgers,American,Burger,1,0,0,0,0,True,0
Burger,Burger,just burger,Burgers,American,Burger,1,0,0,0,0,True,0
Burger,Burger,the wicked bun,Burgers,American,Burger,0,0,0,0,0,False,13
