label,label2,ascii_name_fix,label_orig,label2_orig,label_final,Burger,Chicken,Kebab,Pizza,Fast Food
Sand/Caf/Bake,Vegan,cafe  bagel,Bagels,Vegan,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,kafe bloc,Café,Breakfast,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,philpotts sheffield,Sandwiches,Salads,Sand/Caf/Bake,0,0,0,0,0
French,Sand/Caf/Bake,cafe remy cambridge,French,Café,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,joy's kitchen,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,fresh,Café,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Lebanese,Sand/Caf/Bake,kababji,Lebanese,Wraps,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,the square bistro,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Lunch,Sand/Caf/Bake,coffee corner,Lunch,Breakfast,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Burger,cjs cafe,Breakfast,Burgers,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,fletchers cafe,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,lily's bistro,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,buddy's cafe,Breakfast,Café,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Lunch,the peaky bites cafe,Breakfast,Lunch,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,little molly's tearooms,Breakfast,Café,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Brunch,i and g cafe sisters,Breakfast,Brunch,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,baguette  and  jacket,Sandwiches,Deli,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,philpotts temple quay,Sandwiches,Salads,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Burger,mighty mo's cafe (new),Breakfast,Burgers,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Kebab,the munchie machine,Breakfast,Kebab,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,heathers coffee house and cafe,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Tapas,Sand/Caf/Bake,la concha,Tapas,Breakfast,Sand/Caf/Bake,0,0,0,0,0
British,Sand/Caf/Bake,the york roast co. - stonegate,British,Wraps,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Desserts,ibrahims,Café,Desserts,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,julie's cafe,Café,Breakfast,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Burger,yummy tummy,Breakfast,Burgers,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Burger,maria's cafe,Breakfast,Burgers,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,British,shiney deli,Deli,British,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,anet's deli,Café,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,the ashford cafe,Café,Breakfast,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,broadway sandwich bar,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,freedom cafe,Café,Breakfast,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Sand/Caf/Bake,jj's sandwich shop,Breakfast,Sandwiches,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,English,patty's cob shop,Sandwiches,English,Sand/Caf/Bake,0,0,0,0,0
Sand/Caf/Bake,Dinner,golden spoon cafe,Breakfast,Dinner,Sand/Caf/Bake,0,0,0,0,0
